subject,min_similarity,max_similarity,mean_similarity,median_similarity,std_similarity,n_agent_pairs,n_agents
abstract_algebra,0.94114816,0.9689679,0.95298624,0.9522333,0.007010207,10,5
anatomy,0.7062548,0.9641108,0.8891788,0.89119047,0.072767295,15,6
astronomy,0.70436776,0.9689469,0.9048186,0.9098543,0.06902897,15,6
business_ethics,0.8101419,0.9774072,0.90525365,0.92927206,0.05489295,21,7
clinical_knowledge,0.95363504,0.9742578,0.96491957,0.9643873,0.006397412,10,5
college_biology,0.87333894,0.9675793,0.9325169,0.95258594,0.03471371,15,6
college_computer_science,0.8635547,0.960498,0.91894776,0.94060314,0.033877537,15,6
college_mathematics,0.7252841,0.9872662,0.8710606,0.8847724,0.07825741,21,7
college_medicine,0.948959,0.97292876,0.9645294,0.9643359,0.006384345,10,5
college_physics,0.9495512,0.97789216,0.95887786,0.9583409,0.0075777923,10,5
computer_security,0.9330212,0.9776841,0.9564516,0.9568336,0.01581015,10,5
conceptual_physics,0.9324769,0.9746995,0.9554516,0.95743036,0.012306664,15,6
econometrics,0.9563447,0.9721319,0.9647727,0.9646581,0.0050583277,10,5
electrical_engineering,0.96630365,0.9782466,0.9721559,0.9723363,0.0033366755,10,5
elementary_mathematics,0.9304714,0.98568064,0.96232015,0.96594614,0.01699774,10,5
formal_logic,0.88476396,0.9671641,0.93296915,0.9403975,0.02711745,15,6
global_facts,0.9014413,0.9800443,0.93886274,0.9365235,0.023884125,21,7
high_school_biology,0.9471754,0.97320545,0.9623917,0.96590716,0.008994998,10,5
high_school_chemistry,0.92719245,0.9719657,0.9527068,0.9544869,0.012236969,10,5
high_school_computer_science,0.8963808,0.979082,0.94466704,0.9626889,0.03169014,15,6
high_school_european_history,0.82269806,0.96975636,0.9109437,0.9364984,0.05679945,15,6
high_school_geography,0.8529571,0.97085714,0.9266097,0.9421431,0.039308656,15,6
high_school_government_and_politics,0.78353816,0.9605583,0.8687686,0.84601665,0.058227908,10,5
high_school_macroeconomics,0.89940834,0.9786613,0.94806635,0.9633028,0.02992827,15,6
high_school_mathematics,0.83699423,0.9865083,0.9296132,0.9609482,0.052567557,15,6
high_school_microeconomics,0.8039186,0.971041,0.9217565,0.9377101,0.048383363,15,6
high_school_physics,0.955104,0.987694,0.97025454,0.96818125,0.008408159,10,5
high_school_psychology,0.93929803,0.97903097,0.9575717,0.9596205,0.01283257,10,5
high_school_statistics,0.79147404,0.9699947,0.8734552,0.8508723,0.056257676,10,5
high_school_us_history,0.94341826,0.979,0.9617917,0.96247774,0.00945914,15,6
high_school_world_history,0.8702858,0.9559956,0.90868217,0.9186007,0.030386744,10,5
human_aging,0.905732,0.9597382,0.93586713,0.94323933,0.016890306,10,5
human_sexuality,0.80186605,0.9482602,0.89214146,0.89575124,0.043339424,15,6
international_law,0.873117,0.980382,0.93559885,0.9692475,0.047170486,10,5
jurisprudence,0.92119753,0.9814235,0.9548284,0.95445174,0.016513215,21,7
logical_fallacies,0.87280375,0.96921456,0.9352905,0.9525772,0.032271005,15,6
machine_learning,0.946386,0.977051,0.9638751,0.96638274,0.009224437,10,5
management,0.9252957,0.964889,0.9498087,0.9513016,0.011236618,10,5
marketing,0.8592782,0.98700887,0.934683,0.97283995,0.052855235,10,5
medical_genetics,0.8583967,0.97226214,0.9316233,0.9523577,0.035769314,21,7
miscellaneous,0.80729014,0.97852767,0.9174592,0.963019,0.07188619,15,6
moral_disputes,0.89531857,0.9706077,0.94468707,0.96557915,0.02923442,10,5
moral_scenarios,0.9502464,0.98640263,0.9690959,0.9681777,0.009233773,21,7
nutrition,0.95503104,0.9734013,0.9621607,0.9612285,0.0051960726,10,5
philosophy,0.8280878,0.9851283,0.912632,0.929665,0.062357426,21,7
prehistory,0.935223,0.9851997,0.9549321,0.9544188,0.015000892,21,7
professional_accounting,0.9576712,0.97664803,0.9659656,0.9663345,0.0052611753,10,5
professional_law,0.9322475,0.98754376,0.9708626,0.97398305,0.01302752,21,7
professional_medicine,0.95433205,0.974708,0.9673627,0.96910655,0.006006865,10,5
professional_psychology,0.7974643,0.9795354,0.912572,0.9210372,0.0653368,21,7
public_relations,0.84661674,0.9559865,0.90782034,0.9111171,0.035609502,15,6
security_studies,0.8886864,0.9817159,0.94429404,0.9476908,0.027850682,15,6
sociology,0.822124,0.943511,0.8829846,0.86094105,0.046246797,15,6
us_foreign_policy,0.934921,0.9781269,0.9571641,0.95653254,0.01591528,10,5
virology,0.86367756,0.9831469,0.9429841,0.94910467,0.03444113,21,7
world_religions,0.83038473,0.9584717,0.8992349,0.8738639,0.0448291,15,6
